ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [114/800] f104_crm_eval_group_0113 B z -7.889 (pess -7.785) -> G abstain | valid 17/17 | 3.39s (cem 0.35 refine 2.98 [60 steps] finals 0.05)
  [115/800] f104_crm_eval_group_0114 B z -7.946 (pess -7.644) -> G abstain | valid 17/17 | 3.40s (cem 0.35 refine 2.99 [60 steps] finals 0.05)
  [116/800] f104_crm_eval_group_0115 B z -7.911 (pess -7.790) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [117/800] f104_crm_eval_group_0116 B z -8.088 (pess -7.849) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [118/800] f104_crm_eval_group_0117 B z -8.186 (pess -7.879) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.98 [60 steps] finals 0.05)
  [119/800] f104_crm_eval_group_0118 B z -8.214 (pess -7.812) -> G abstain | valid 17/17 | 3.40s (cem 0.39 refine 2.95 [60 steps] finals 0.05)
  [120/800] f104_crm_eval_group_0119 B z -8.141 (pess -7.824) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [121/800] f104_crm_eval_group_0120 B z -8.225 (pess -7.944) -> G abstain | valid 17/17 | 3.40s (cem 0.37 refine 2.97 [60 steps] finals 0.05)
  [122/800] f104_crm_eval_group_0121 B z -8.075 (pess -7.585) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
  [123/800] f104_crm_eval_group_0122 B z -8.064 (pess -7.901) -> G abstain | valid 17/17 | 3.46s (cem 0.41 refine 2.98 [60 steps] finals 0.05)
  [124/800] f104_crm_eval_group_0123 B z -7.963 (pess -7.614) -> G abstain | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [125/800] f104_crm_eval_group_0124 B z -6.744 (pess -5.438) -> G z -7.882 (pess -7.250) gain 1.813 from B/sample step 60 | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [126/800] f104_crm_eval_group_0125 B z -6.598 (pess -5.283) -> G z -7.908 (pess -7.444) gain 2.160 from round0/sample step 44 | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [127/800] f104_crm_eval_group_0126 B z -8.084 (pess -7.888) -> G abstain | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [128/800] f104_crm_eval_group_0127 B z -8.196 (pess -7.906) -> G abstain | valid 17/17 | 3.38s (cem 0.36 refine 2.96 [60 steps] finals 0.05)
  [129/800] f104_crm_eval_group_0128 B z -8.227 (pess -7.932) -> G abstain | valid 17/17 | 3.45s (cem 0.36 refine 3.02 [60 steps] finals 0.05)
  [130/800] f104_crm_eval_group_0129 B z -8.182 (pess -7.903) -> G abstain | valid 17/17 | 3.44s (cem 0.39 refine 2.99 [60 steps] finals 0.05)
